Function: Linear height n inserts
           Size              	Time(sec)
              2              	4.21631e-07
              4              	7.12158e-07
              8              	1.34912e-06
             16              	2.94727e-06
             32              	6.91406e-06
             64              	1.88496e-05
            128              	5.87539e-05
            256              	0.000252266
            512              	0.00126916
           1024              	0.00613031
           2048              	0.0268124
           4096              	0.137962
           8192              	0.593058
          16384              	2.47014
Function: Logarithmic height n inserts
           Size              	Time(sec)
              2              	3.78578e-07
              4              	6.17725e-07
              8              	1.20864e-06
             16              	2.52351e-06
             32              	5.19067e-06
             64              	1.07541e-05
            128              	2.25746e-05
            256              	5.04519e-05
            512              	0.000104994
           1024              	0.000229213
           2048              	0.000516895
           4096              	0.00115182
           8192              	0.00255033
          16384              	0.00572462
          32768              	0.0138245
          65536              	0.0325537
         131072              	0.0843485
         262144              	0.191871
         524288              	0.412729
Function: Random n inserts
           Size              	Time(sec)
              2              	4.14822e-07
              4              	7.52426e-07
              8              	1.53428e-06
             16              	3.15523e-06
             32              	6.465e-06
             64              	1.28251e-05
            128              	2.57109e-05
            256              	5.69932e-05
            512              	0.000126679
           1024              	0.000401748
           2048              	0.000752486
           4096              	0.00181302
           8192              	0.00413495
          16384              	0.00930531
          32768              	0.0220836
          65536              	0.054407
         131072              	0.149348
         262144              	0.379431
         524288              	0.901408
